City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Morondava,MG,78.87,moderate rain,-20.2833,44.2833,
2,Vao,NC,75.02,overcast clouds,-22.6667,167.4833,
8,Doctor Juan Manuel Frutos,PY,88.68,broken clouds,-25.3667,-55.8,
18,Hithadhoo,MV,82.63,broken clouds,-0.6,73.0833,
20,Salalah,OM,80.6,clear sky,17.0151,54.0924,
21,Butaritari,KI,81.63,light rain,3.0707,172.7902,
22,Rikitea,PF,77.77,clear sky,-23.1203,-134.9692,
27,Kavieng,PG,80.53,scattered clouds,-2.5744,150.7967,
35,Road Town,VG,86.0,scattered clouds,18.4167,-64.6167,
45,Kapaa,US,75.99,broken clouds,22.0752,-159.319,
47,Faanui,PF,81.28,overcast clouds,-16.4833,-151.75,
51,Georgetown,MY,80.6,few clouds,5.4112,100.3354,
53,Omboue,GA,76.84,moderate rain,-1.5746,9.2618,
54,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,
55,Padang,ID,77.94,overcast clouds,-0.9492,100.3543,
59,Hilo,US,78.8,scattered clouds,19.7297,-155.09,
62,Namatanai,PG,78.03,overcast clouds,-3.6667,152.4333,
69,Kahului,US,77.0,few clouds,20.8947,-156.47,
70,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,
78,Daniel Flores,CR,81.03,light rain,9.3355,-83.6694,
82,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,
96,Camacari,BR,84.2,few clouds,-12.6975,-38.3242,
98,Mar Del Plata,AR,75.2,few clouds,-38.0023,-57.5575,
100,Bontang,ID,75.47,moderate rain,0.1333,117.5,
102,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,
103,Tarakan,ID,76.8,overcast clouds,3.3,117.6333,
104,Kieta,PG,77.83,overcast clouds,-6.2167,155.6333,
107,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,
109,Viedma,AR,81.27,clear sky,-40.8135,-62.9967,
110,Bilkha,IN,83.28,clear sky,21.4333,70.6,
111,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,
113,Atuona,PF,80.37,light rain,-9.8,-139.0333,
118,Soyo,AO,81.25,light rain,-6.1349,12.3689,
120,Sabha,LY,77.65,broken clouds,27.0377,14.4283,
124,Thomaston,US,82.4,broken clouds,32.8882,-84.3266,
125,Thinadhoo,MV,82.74,overcast clouds,0.5333,72.9333,
128,Kant,IN,85.55,scattered clouds,27.8,79.8,
133,Acapulco,MX,84.2,overcast clouds,16.8634,-99.8901,
136,Puerto Ayora,EC,81.0,few clouds,-0.7393,-90.3518,
137,Tura,IN,78.03,overcast clouds,25.5198,90.2201,
142,Muisne,EC,86.0,few clouds,0.6,-80.0333,
143,Amapa,BR,79.12,moderate rain,1.0,-52.0,
149,Avarua,CK,78.8,few clouds,-21.2078,-159.775,
153,Kudahuvadhoo,MV,82.92,broken clouds,2.6708,72.8944,
154,Manacapuru,BR,80.6,scattered clouds,-3.2997,-60.6206,
155,Hambantota,LK,79.63,overcast clouds,6.1241,81.1185,
157,Ixtapa,MX,80.6,clear sky,20.7,-105.2,
159,Weligama,LK,77.65,overcast clouds,5.9667,80.4167,
161,Ternate,ID,81.14,light rain,0.8,127.4,
164,Kokopo,PG,75.81,overcast clouds,-4.352,152.2633,
166,San Patricio,US,86.0,broken clouds,28.017,-97.5169,
170,Sur,OM,85.05,few clouds,22.5667,59.5289,
172,Sola,VU,78.8,broken clouds,-13.8833,167.55,
175,Ilhabela,BR,75.83,overcast clouds,-23.7781,-45.3581,
176,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,
178,La Peca,PE,81.19,light rain,-5.6111,-78.435,
183,Diffa,NE,86.04,scattered clouds,13.3154,12.6113,
186,Daru,PG,78.1,scattered clouds,-9.0763,143.2092,
187,Kirakira,SB,79.2,scattered clouds,-10.4544,161.9205,
188,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,
195,Namibe,AO,80.53,clear sky,-15.1961,12.1522,
198,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,
