City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.2,20,27.63,few clouds
1,Morondava,MG,-20.2833,44.2833,78.87,1,5.19,moderate rain
2,Vao,NC,-22.6667,167.4833,75.02,100,22.17,overcast clouds
3,Padina,RS,45.1181,20.7272,42.01,75,6.91,light rain
4,Araouane,ML,18.9048,-3.5265,90.86,0,0.65,clear sky
5,Saint George,US,37.1041,-113.5841,69.01,1,11.5,clear sky
6,Albany,US,42.6001,-73.9662,71.6,75,1.41,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,75,5.75,broken clouds
8,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,88.68,63,4.32,broken clouds
9,Dyersburg,US,36.0345,-89.3856,59.0,90,9.22,overcast clouds
10,Saint-Francois,FR,46.4154,3.9054,44.01,0,6.91,clear sky
11,Mataura,NZ,-46.1927,168.8643,50.0,97,1.01,overcast clouds
12,Nouadhibou,MR,20.931,-17.0347,71.6,11,20.71,few clouds
13,Kaga,JP,36.2997,136.3145,37.4,20,4.61,few clouds
14,Vaini,TO,-21.2,-175.2,66.2,20,2.3,few clouds
15,Port Elizabeth,ZA,-33.918,25.5701,62.6,20,2.3,few clouds
16,Hofn,IS,64.2539,-15.2082,44.6,75,9.22,broken clouds
17,Gat,IL,31.61,34.7642,64.0,87,7.58,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.63,69,5.32,broken clouds
19,Airai,TL,-8.9266,125.4092,55.42,28,1.79,scattered clouds
20,Salalah,OM,17.0151,54.0924,80.6,0,5.75,clear sky
21,Butaritari,KI,3.0707,172.7902,81.63,100,9.57,light rain
22,Rikitea,PF,-23.1203,-134.9692,77.77,9,7.36,clear sky
23,Jamestown,US,42.097,-79.2353,61.0,20,6.91,few clouds
24,Victoria,HK,22.2855,114.1577,73.99,97,18.97,overcast clouds
25,Artsvaberd,AM,40.8336,45.4711,42.53,36,4.72,scattered clouds
26,Saint-Augustin,CA,51.226,-58.6502,45.64,0,7.34,clear sky
27,Kavieng,PG,-2.5744,150.7967,80.53,39,4.16,scattered clouds
28,Beisfjord,NO,68.3751,17.5988,32.0,90,9.22,light snow
29,Busselton,AU,-33.65,115.3333,54.0,95,1.99,overcast clouds
30,Carnarvon,AU,-24.8667,113.6333,73.87,0,21.45,clear sky
31,Leningradskiy,RU,69.3833,178.4167,5.79,100,2.15,overcast clouds
32,Alofi,NU,-19.0595,-169.9187,69.8,20,1.14,few clouds
33,Ous,RU,60.9058,61.5186,47.68,10,9.71,clear sky
34,Naze,JP,28.3667,129.4833,60.69,99,9.93,overcast clouds
35,Road Town,VG,18.4167,-64.6167,86.0,40,12.66,scattered clouds
36,Gorgan,IR,36.8387,54.4348,60.8,90,9.22,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,69.08,78,3.96,broken clouds
38,Bluff,NZ,-46.6,168.3333,50.0,100,1.01,overcast clouds
39,Wladyslawowo,PL,54.7909,18.4009,39.99,40,11.5,scattered clouds
40,Ushuaia,AR,-54.8,-68.3,48.2,20,20.71,few clouds
41,Nikolskoye,RU,59.7035,30.7861,39.0,0,13.42,clear sky
42,Nelson Bay,AU,-32.7167,152.15,59.0,90,11.43,overcast clouds
43,Binche,BE,50.4115,4.1647,42.01,20,8.05,few clouds
44,Evensk,RU,61.95,159.2333,13.05,100,15.97,overcast clouds
45,Kapaa,US,22.0752,-159.319,75.99,75,14.97,broken clouds
46,Hermanus,ZA,-34.4187,19.2345,64.99,0,1.99,clear sky
47,Faanui,PF,-16.4833,-151.75,81.28,100,12.33,overcast clouds
48,Tasiilaq,GL,65.6145,-37.6368,32.0,90,3.44,light snow
49,Saskylakh,RU,71.9167,114.0833,-0.83,97,4.54,overcast clouds
