City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-04-14 15:23:19,19.7297,-155.09,64.4,68,1,5.75
1,Cape Town,ZA,2021-04-14 15:24:36,-33.9258,18.4232,71.01,73,0,16.11
2,Alofi,NU,2021-04-14 15:23:48,-19.0595,-169.9187,64.4,100,40,4.83
3,Klaksvik,FO,2021-04-14 15:25:48,62.2266,-6.589,46.4,87,40,11.5
4,Yellowknife,CA,2021-04-14 15:25:48,62.456,-114.3525,32.0,69,20,6.91
5,Mataura,NZ,2021-04-14 15:25:49,-46.1927,168.8643,48.99,95,99,1.01
6,Tooele,US,2021-04-14 15:25:49,40.5308,-112.2983,41.0,87,90,4.61
7,Oranjemund,NA,2021-04-14 15:25:50,-28.55,16.4333,87.08,31,0,10.76
8,Yumen,CN,2021-04-14 15:25:50,40.2833,97.2,49.46,16,27,14.58
9,Bilibino,RU,2021-04-14 15:25:50,68.0546,166.4372,-13.25,83,27,5.37
10,Half Moon Bay,US,2021-04-14 15:25:51,37.4636,-122.4286,51.8,76,1,6.91
11,Pisco,PE,2021-04-14 15:25:51,-13.7,-76.2167,71.6,73,62,5.75
12,Khatanga,RU,2021-04-14 15:25:52,71.9667,102.5,-5.57,97,39,10.51
13,Albany,US,2021-04-14 15:21:58,42.6001,-73.9662,66.0,36,68,1.01
14,Rawson,AR,2021-04-14 15:25:52,-43.3002,-65.1023,76.68,32,44,16.67
15,Ostrovnoy,RU,2021-04-14 15:25:52,68.0531,39.5131,30.33,78,20,15.99
16,Lata,PT,2021-04-14 15:25:53,40.1629,-8.3327,78.01,51,100,2.35
17,Rikitea,PF,2021-04-14 15:25:53,-23.1203,-134.9692,77.18,73,5,6.24
18,Torbay,CA,2021-04-14 15:25:53,47.6666,-52.7314,36.0,86,90,18.41
19,Fortuna,US,2021-04-14 15:25:54,40.5982,-124.1573,44.01,93,1,8.05
20,Malaryta,BY,2021-04-14 15:25:54,51.7905,24.074,35.71,95,100,10.09
21,Bethel,US,2021-04-14 15:25:55,41.3712,-73.414,66.2,37,1,4.61
22,Jamestown,US,2021-04-14 15:25:55,42.097,-79.2353,57.0,54,75,6.91
23,Bac Lieu,VN,2021-04-14 15:25:55,9.285,105.7244,83.61,70,69,8.59
24,Hovd,MN,2021-04-14 15:25:56,48.0056,91.6419,35.29,31,5,3.24
25,Busselton,AU,2021-04-14 15:22:39,-33.65,115.3333,54.0,94,28,6.26
26,Barrow,US,2021-04-14 15:25:56,71.2906,-156.7887,10.4,79,90,9.22
27,Sergiyevsk,RU,2021-04-14 15:25:57,53.9413,51.165,57.7,66,6,7.31
28,Janakpur,NP,2021-04-14 15:25:57,26.7183,85.9065,88.79,9,12,5.08
29,Chokurdakh,RU,2021-04-14 15:25:58,70.6333,147.9167,-13.61,99,15,4.76
30,Tessalit,ML,2021-04-14 15:25:58,20.1986,1.0114,105.44,4,50,12.17
31,Castro,BR,2021-04-14 15:25:58,-24.7911,-50.0119,67.3,57,100,8.03
32,Korla,CN,2021-04-14 15:25:59,41.7597,86.1469,63.68,24,7,4.03
33,Mbandaka,CD,2021-04-14 15:25:59,0.0487,18.2603,86.59,52,66,2.64
34,Guerrero Negro,MX,2021-04-14 15:21:10,27.9769,-114.0611,59.59,69,76,12.53
35,Norman Wells,CA,2021-04-14 15:26:00,65.282,-126.8329,21.2,58,20,10.36
36,Port Elizabeth,ZA,2021-04-14 15:26:00,-33.918,25.5701,64.4,100,90,14.97
37,Kapaa,US,2021-04-14 15:26:01,22.0752,-159.319,71.6,73,20,13.8
38,Punta Arenas,CL,2021-04-14 15:26:01,-53.15,-70.9167,46.4,61,40,27.63
39,Uwajima,JP,2021-04-14 15:26:02,33.2238,132.56,46.87,71,40,9.33
40,Port Hueneme,US,2021-04-14 15:26:02,34.1478,-119.1951,54.0,76,90,3.85
41,Panaba,MX,2021-04-14 15:21:15,21.2833,-88.2667,88.12,42,7,13.69
42,Qaanaaq,GL,2021-04-14 15:26:03,77.484,-69.3632,-7.38,79,3,3.65
43,Beloha,MG,2021-04-14 15:26:03,-25.1667,45.05,77.07,73,9,13.8
44,Belmonte,BR,2021-04-14 15:26:03,-15.8631,-38.8828,78.8,69,75,8.05
45,Kimbe,PG,2021-04-14 15:26:04,-5.5502,150.1429,74.93,92,94,4.83
46,Samana,DO,2021-04-14 15:24:39,19.2056,-69.3369,80.6,78,40,9.22
47,Victoria,HK,2021-04-14 15:23:02,22.2855,114.1577,75.0,87,56,1.01
48,Itarema,BR,2021-04-14 15:26:04,-2.9248,-39.9167,86.38,64,97,13.47
49,Nagorsk,RU,2021-04-14 15:26:05,59.3172,50.8078,51.01,77,40,9.19
50,Varhaug,NO,2021-04-14 15:26:05,58.6147,5.6457,48.2,61,40,16.11
51,San Patricio,US,2021-04-14 15:26:06,28.017,-97.5169,81.0,94,90,8.05
52,Ushuaia,AR,2021-04-14 15:26:06,-54.8,-68.3,48.2,34,75,16.11
53,Pocone,BR,2021-04-14 15:26:06,-16.2567,-56.6228,95.72,34,0,0.87
54,Syedove,UA,2021-04-14 15:26:07,47.0768,38.156,51.01,100,55,8.01
